drinkname,rum,soda,grain alcohol,herb,anis,vodka,citrus,currant,spice,brandy,syrup,agave,almond,bitters,campari,apple,whiskey,cream,cocoa,beer,berries,butter,salt,champagne,coke,milk,coconut,coffee,wine,tropical fruit,gin,grape,guava,tequila,cookie,peach,chili,ice cream,rose,vinegar,tomato,water,yoghurt
Afternoon,1.0,0.0,1.5,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0,1,1,0.0,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
After sex,0.0,0.0,0.33814,0,0,2.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
B-53,0.3333333333333333,0.0,0.3333333333333333,0,1,0.0,1,0,0,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
B-52,0.25,0.0,0.0,0,0,0.0,1,0,0,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,0,0.3333333333333333,1,1,0.0,0,0,0,0.0,0.0,0.0,0,0.25,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Bijou,0.0,0.0,1.0,1,0,0.0,1,0,0,0.0,0.0,0,0,0.33,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Boxcar,0.0,0.0,1.0,0,0,0.0,1,0,0,0.0,0.0835,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.5,0,1,0.0,0,0,0,0,0,0,0,0,0.0
Big Red,0.0,0.0,0.0,0,0,0.0,0,0,1,0.0,0.0,0,0,0.0,0.0,0,0.5,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Bellini,0.0,0.0,1.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0.0
Bramble,0.0,0.0,0.5072099999999999,0,0,0.0,0,0,0,0.0,0.33814,0,0,0.0,0.0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Balmoral,0.0,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0,0,0.66,0.0,0,1.5,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
