,DrinkID,DrinkName,Category,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15
369,178310,Brooklyn,Cocktail,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,,,,,,2 oz,1 oz,1/4 oz,3 dashes,1,,,,,,,,,,
368,11124,Boomerang,Ordinary Drink,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,,2 oz ,1/2 oz ,2 dashes ,1/2 tsp ,1 ,,,,,,,,,,
367,12572,Bora Bora,Cocktail,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,,10 cl ,6 cl ,1 cl ,1 cl ,,,,,,,,,,,
366,17209,Barracuda,Ordinary Drink,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,,,,,,4.5 cl,1.5 cl,6 cl, 1 dash,top up ,,,,,,,,,,
365,17035,Buccaneer,Beer,Corona,Bacardi Limon,,,,,,,,,,,,,,1 ,1 shot ,,,,,,,,,,,,,
364,17825,Brigadier,Cocktail,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,,,,,,,4 oz,1 oz,1 oz,,,,,,,,,,,,
363,178311,Broadside,Cocktail,151 proof rum,Scotch,Bitters,Wormwood,Ice,,,,,,,,,,,1 shot,1/2 shot,3 drops,1 Fresh,cubes,,,,,,,,,,
362,11106,Blackthorn,Ordinary Drink,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1 twist of ,,,,,,,,,,,,
361,13395,Bob Marley,Shot,Midori melon liqueur,Jägermeister,Goldschlager,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,
360,14730,Bubble Gum,Shot,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,,,,,,1/4 ,1/4 ,1/4 ,1/4 ,,,,,,,,,,,
359,16986,Bible Belt,Other/Unknown,Southern Comfort,Triple sec,Lime,Sour mix,,,,,,,,,,,,2 oz ,1/2 oz ,2 wedges ,2 oz ,,,,,,,,,,,
358,17120,Brain Fart,Punch / Party Drink,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,,,,,,1 fifth ,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint ,,,,,,,,,
357,11113,Bloody Mary,Ordinary Drink,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge ,,,,,,,,,
356,11117,Blue Lagoon,Ordinary Drink,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,
355,11129,Boston Sour,Ordinary Drink,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 ,1 slice ,1 ,,,,,,,,,
354,11164,Brandy Flip,Ordinary Drink,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,,,,,,2 oz ,1 whole ,1 tsp superfine ,1/2 oz ,1/8 tsp grated ,,,,,,,,,,
353,17185,Casino,Ordinary Drink,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,,,,,,2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,,,,,,
352,11202,Caipirinha,Ordinary Drink,Sugar,Lime,Cachaca,,,,,,,,,,,,,2 tsp,1 ,2 1/2 oz ,,,,,,,,,,,,
351,11239,Cherry Rum,Ordinary Drink,Light rum,Cherry brandy,Light cream,,,,,,,,,,,,,1 1/4 oz ,1 1/2 tsp ,1 tblsp ,,,,,,,,,,,,
350,11288,Cuba Libre,Ordinary Drink,Light rum,Lime,Coca-Cola,,,,,,,,,,,,,2 oz ,Juice of 1/2 ,,,,,,,,,,,,,
349,13751,Cuba Libra,Ordinary Drink,Dark rum,Lime,Coca-Cola,Ice,,,,,,,,,,,,1-2 shot ,Squeeze ,Fill with ,,,,,,,,,,,,
348,14181,Cafe Savoy,Coffee / Tea,Coffee,Milk,Triple sec,Brandy,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,
347,14608,Cream Soda,Cocktail,Spiced rum,Ginger ale,,,,,,,,,,,,,,1 oz ,,,,,,,,,,,,,,
346,17830,Corn n Oil,Cocktail,Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum,,,,,,,,,,,1/2,1/3 oz,2 dashes,1 oz,1 oz,,,,,,,,,,
